Artist;Title;Link
Shark Tank; Postcard On The Run Pitch (Shark Tank Season 5 Episode 1); https://www.youtube.com/watch?v=e4Ci7l8aXe4
Shark Tank; Lynnae's Gourmet Pickles Pitch (Shark Tank Season 5 Episode 1); https://www.youtube.com/watch?v=4QsUmWQkYdU
Shark Tank; Sweet Ballz Pitch (Shark Tank Season 5 Episode 1); https://www.youtube.com/watch?v=zP9FKGb1rZg
Shark Tank; BreathOmeter Pitch (Shark Tank Season 5 Episode 2); https://www.youtube.com/watch?v=rx8I703K2RI
Shark Tank; Man Medals Pitch (Shark Tank Season 5 Episode 2); https://www.youtube.com/watch?v=Zbmliti6bQ8
Shark Tank; Kane and Couture Pitch (Shark Tank Season 5 Episode 2); https://www.youtube.com/watch?v=IJt15KGj6e8
Shark Tank; Fairytale Wishes Pitch (Shark Tank Season 5 Episode 3); https://www.youtube.com/watch?v=SpoyRiQfN8E
Shark Tank; The Freeloader Pitch (Shark Tank Season 5 Episode 3); https://www.youtube.com/watch?v=cGhubf_zH8A
Shark Tank; Rapid Ramen Cooker Pitch (Shark Tank Season 5 Episode 3); https://www.youtube.com/watch?v=qjFR-DxGSK0
Shark Tank; Sunday Night Slow Jams Pitch (Shark Tank Season 5 Episode 4); https://www.youtube.com/watch?v=KgbOxNVDp9M
Shark Tank; Hamboards Pitch (Shark Tank Season 5 Episode 4); https://www.youtube.com/watch?v=Vj8TaUd55uE
Shark Tank; Scan App Pitch (Shark Tank Season 5 Episode 4); https://www.youtube.com/watch?v=_op9vYMnRvk
Shark Tank; ScreenMend Pitch (Shark Tank Season 5 Episode 4); https://www.youtube.com/watch?v=KuRw4vND8N8
Shark Tank; Rufflebutts And Ruggedbutts Pitch (Shark Tank Season 5 Episode 5); https://www.youtube.com/watch?v=VlmneVhEOo4
Shark Tank; Bare Ease Pitch (Shark Tank Season 5 Episode 5); https://www.youtube.com/watch?v=6288Vi99Y5k
Shark Tank; Rent A Goat Pitch (Shark Tank Season 5 Episode 5); https://www.youtube.com/watch?v=9rMTAz8uEJo
Shark Tank; Veggie Mama Pitch (Shark Tank Season 5 Episode 5); https://www.youtube.com/watch?v=rydStD8S5vw
Shark Tank; Fiberfix Pitch (Shark Tank Season 5 Episode 6); https://www.youtube.com/watch?v=-Vq7Y7b-fYo
Shark Tank; Elephant Chat Pitch (Shark Tank Season 5 Episode 6); https://www.youtube.com/watch?v=fZLQER_DtR8
Shark Tank; One Thirty Three Productions Pitch (Shark Tank Season 5 Episode 6); https://www.youtube.com/watch?v=OA4CMAGj5q8
Shark Tank; Total Merchant Resources Pitch (Shark Tank Season 5 Episode 6); https://www.youtube.com/watch?v=bXvqJXeLmS0
Shark Tank; Better Life Pitch (Shark Tank Season 5 Episode 7); https://www.youtube.com/watch?v=ToX4lHyEMwk
Shark Tank; 180Cup Pitch (Shark Tank Season 5 Episode 7); https://www.youtube.com/watch?v=v7SJabiXo7U
Shark Tank; Kymera Body Board Pitch (Shark Tank Season 5 Episode 7); https://www.youtube.com/watch?v=5Iea9iEkJZ0
Shark Tank; Tree-T-Pee Pitch (Shark Tank Season 5 Episode 7); https://www.youtube.com/watch?v=IK9Xuqky9zE
Shark Tank; Schulzies Bread Pudding Pitch (Shark Tank Season 5 Episode 8); https://www.youtube.com/watch?v=zTB3L3PwN2w
Shark Tank; Paparazzi Proposals Pitch (Shark Tank Season 5 Episode 8); https://www.youtube.com/watch?v=F49jFV-rtlo
Shark Tank; BellyBuds Pitch (Shark Tank Season 5 Episode 8); https://www.youtube.com/watch?v=Steojcuq8Yo
Shark Tank; Pet Paint Pitch (Shark Tank Season 5 Episode 8); https://www.youtube.com/watch?v=-Rzl4kQm6HE
Shark Tank; DoorBot Pitch (Shark Tank Season 5 Episode 9); https://www.youtube.com/watch?v=YqQblsZgF8M
Shark Tank; Slawsa Pitch (Shark Tank Season 5 Episode 9); https://www.youtube.com/watch?v=twLhGes3lK4
Shark Tank; Magic Moments Pitch (Shark Tank Season 5 Episode 9); https://www.youtube.com/watch?v=ee4RD51Fbn8
Shark Tank; Surprise Ride Pitch (Shark Tank Season 5 Episode 9); https://www.youtube.com/watch?v=vaJoOYUGaIQ
Shark Tank; Yubo Pitch (Shark Tank Season 5 Episode 10); https://www.youtube.com/watch?v=GhD7enu703k
Shark Tank; Pursecase Pitch (Shark Tank Season 5 Episode 10); https://www.youtube.com/watch?v=twVGtofCxO0
Shark Tank; Chocomize Pitch (Shark Tank Season 5 Episode 10); https://www.youtube.com/watch?v=L-Ud15yUKUA
Shark Tank; Grace and Lace Pitch (Shark Tank Season 5 Episode 10); https://www.youtube.com/watch?v=4F0GfoEGZd4
Shark Tank; Spirithood Pitch (Shark Tank Season 5 Episode 11); https://www.youtube.com/watch?v=tgbdBZqvkGQ
Shark Tank; Omni Pitch (Shark Tank Season 5 Episode 11); https://www.youtube.com/watch?v=KSXMqBUREnE
Shark Tank; Fohawx Pitch (Shark Tank Season 5 Episode 11); https://www.youtube.com/watch?v=faac89-AhD4
Shark Tank; De-Boned Baby Back Rib Steak Pitch (Shark Tank Season 5 Episode 11); https://www.youtube.com/watch?v=9PWnRu3lMz8
Shark Tank; Lite-Netics Pitch (Shark Tank Season 5 Episode 12); https://www.youtube.com/watch?v=l7gHXP3TrAg
Shark Tank; Hanukkah Tree Topper Pitch (Shark Tank Season 5 Episode 12); https://www.youtube.com/watch?v=fOEE8omKx4c
Shark Tank; Cashmere Hair Pitch (Shark Tank Season 5 Episode 12); https://www.youtube.com/watch?v=7UlQ3kJShWk
Shark Tank; Tipsy Elves Pitch (Shark Tank Season 5 Episode 12); https://www.youtube.com/watch?v=fr54GKh7haM
Shark Tank; Bounce Bootcamp Pitch (Shark Tank Season 5 Episode 13); https://www.youtube.com/watch?v=HJZmH-Xk2yY
Shark Tank; The Wall Doctor Rx (Shark Tank Season 5 Episode 13); https://www.youtube.com/watch?v=3l1EKh_jU6E
Shark Tank; Eyebloc Pitch (Shark Tank Season 5 Episode 13); https://www.youtube.com/watch?v=17C5eHMNWQM
Shark Tank; Groovebook Pitch (Shark Tank Season 5 Episode 13); https://www.youtube.com/watch?v=o4ngMbN2_6M
Shark Tank; Alaska Glacial Mud Company Pitch (Shark Tank Season 5 Episode 14); https://www.youtube.com/watch?v=DGTt8gPKlyk
Shark Tank; Invisiplug Pitch (Shark Tank Season 5 Episode 14); https://www.youtube.com/watch?v=PSw9-uy8wqw
Shark Tank; LockerBones Pitch (Shark Tank Season 5 Episode 14); https://www.youtube.com/watch?v=bprDzPc7bX4
Shark Tank; Balloon Distractions Pitch (Shark Tank Season 5 Episode 14); https://www.youtube.com/watch?v=ruyIAqMiVmo
Shark Tank; Swimzip Pitch (Shark Tank Season 5 Episode 15); https://www.youtube.com/watch?v=_fMeVoIp_T8
Shark Tank; Life Caps Pitch (Shark Tank Season 5 Episode 15); https://www.youtube.com/watch?v=1fYleMojgGs
Shark Tank; Freshly Picked Pitch (Shark Tank Season 5 Episode 15); https://www.youtube.com/watch?v=caGs9GtiGXc
Shark Tank; Moberi Pitch (Shark Tank Season 5 Episode 17); https://www.youtube.com/watch?v=kPki50VLItA
Shark Tank; DDP Yoga Pitch (Shark Tank Season 5 Episode 17); https://www.youtube.com/watch?v=INjA-SlqWFM
Shark Tank; Southern Culture Artisan Foods Pitch (Shark Tank Season 5 Episode 17); https://www.youtube.com/watch?v=KIzJFXow9Eg
Shark Tank; Buzzy Pitch (Shark Tank Season 5 Episode 18); https://www.youtube.com/watch?v=CFg9fTa6FgU
Shark Tank; Bambooee Pitch (Shark Tank Season 5 Episode 18); https://www.youtube.com/watch?v=4k4Oewvp7fA
Shark Tank; ZipIt Pitch (Shark Tank Season 5 Episode 18); https://www.youtube.com/watch?v=fdgvunxRcXw
Shark Tank; Henry's Humdingers Pitch (Shark Tank Season 5 Episode 20); https://www.youtube.com/watch?v=Ii3IjmbwxDg
Shark Tank; Define Bottle Pitch (Shark Tank Season 5 Episode 20); https://www.youtube.com/watch?v=4O6mY7X7dhk
Shark Tank; Chapul Pitch (Shark Tank Season 5 Episode 21); https://www.youtube.com/watch?v=rUN8yLEcHI4
Shark Tank; MorningHead Pitch (Shark Tank Season 5 Episode 21); https://www.youtube.com/watch?v=zWu6w_j7N_A
Shark Tank; The Paint Brush Cover Pitch (Shark Tank Season 5 Episode 22); https://www.youtube.com/watch?v=2_DnfK8PwHI
Shark Tank; Monkey Mat Pitch (Shark Tank Season 5 Episode 22); https://www.youtube.com/watch?v=r9p_szHJxjc
Shark Tank; Kodiak Cakes Pitch (Shark Tank Season 5 Episode 22); https://www.youtube.com/watch?v=Rz3hPF_x2XI
